address,categories/0,cid,city,locatedIn,latitude,longitude,neighborhood,phone,postalCode,rank,searchPageUrl,state,street,store_name,totalScore,url,website
"Lot No. 16, Level 5 Nu Sentral, Jalan Tun Sambanthan, 50470 Kuala Lumpur, Malaysia",Restaurant,8.82E+18,Kuala Lumpur,Floor 5 · NU Sentral,3.1331966,101.6867943,"Lot No. 16, Level 5 Nu Sentral, Jalan Tun Sambanthan",+60 3-2276 1439,50470,1,"https://www.google.com/maps/search/kfc+in+kl/@3.1399254,101.6235511,12z?hl=en",Federal Territory of Kuala Lumpur,"Lot No. 16, Level 5 Nu Sentral, Jalan Tun Sambanthan",KFC NU Sentral KL,1,"https://www.google.com/maps/place/KFC+NU+Sentral+KL/@3.1331966,101.6846056,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc49fec865562d:0x7a6c7346114d8a7b!8m2!3d3.1331966!4d101.6867943?hl=en",https://kfc.com.my/
"Berjaya Times Square, Lot 34A, Lower Ground, 1, Jalan Imbi, 55100 Kuala Lumpur, Malaysia",Fast food restaurant,4.75E+18,Kuala Lumpur,Berjaya Times Square KL Shopping Mall,3.1416344,101.7104189,"Berjaya Times Square, Lot 34A, Lower Ground, 1, Jalan Imbi",+60 3-2110 0562,55100,2,"https://www.google.com/maps/search/kfc+in+kl/@3.1399254,101.6235511,12z?hl=en",Federal Territory of Kuala Lumpur,"Berjaya Times Square, Lot 34A, Lower Ground, 1, Jalan Imbi",KFC Berjaya Times Square,3.7,"https://www.google.com/maps/place/KFC+Berjaya+Times+Square/@3.1416344,101.7082302,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc36288d196e6f:0x41f6e32f95671672!8m2!3d3.1416344!4d101.7104189?hl=en",https://kfc.com.my/
"Lot No. LG3 & LG4, Lower Ground Floor, Jalan Putra, 50350 Kuala Lumpur, Malaysia",Restaurant,1.61E+19,Kuala Lumpur,Sunway Putra Mall,3.1662468,101.6923876,"Lot No. LG3 & LG4, Lower Ground Floor, Jalan Putra",+60 3-4051 3244,50350,20,"https://www.google.com/maps/search/kfc+in+kl/@3.1399254,101.6235511,12z?hl=en",Federal Territory of Kuala Lumpur,"Lot No. LG3 & LG4, Lower Ground Floor, Jalan Putra",KFC Sunway Putra,2.3,"https://www.google.com/maps/place/KFC+Sunway+Putra/@3.1662468,101.6901989,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc483c7fa9d8e1:0xdf053b756d5e02ac!8m2!3d3.1662468!4d101.6923876?hl=en",https://kfc.com.my/
"2, Jln 21/19, Sea Park, 46300 Petaling Jaya, Selangor, Malaysia",Restaurant,3.58E+18,Petaling Jaya,,3.1089858,101.6228057,"2, Jln 21/19",+60 3-7865 3701,46300,80,"https://www.google.com/maps/search/kfc+in+kl/@3.1399207,101.623551,12z?hl=en",Selangor,"2, Jln 21/19",KFC Sea Park,3.7,"https://www.google.com/maps/place/KFC+Sea+Park/@3.1089858,101.620617,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4bfc14fe864d:0x31b653d5cca155b3!8m2!3d3.1089858!4d101.6228057?hl=en",https://kfc.com.my/
"Giant Hypermarket Kota Damansara, No. F-15, 16, Jalan PJU 5/1, 47810 Petaling Jaya, Selangor, Malaysia",Restaurant,3.51E+18,Petaling Jaya,Giant Hypermarket Kota Damansara,3.1561992,101.596532,"Giant Hypermarket Kota Damansara, No. F-15, 16, Jalan PJU 5/1",+60 19-336 3056,47810,93,"https://www.google.com/maps/search/kfc+in+kl/@3.1399207,101.623551,12z?hl=en",Selangor,"Giant Hypermarket Kota Damansara, No. F-15, 16, Jalan PJU 5/1",KFC Giant Kota Damansara,3.7,"https://www.google.com/maps/place/KFC+Giant+Kota+Damansara/@3.1561992,101.5943433,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4f210c1625cb:0x30b0e49a53bb490f!8m2!3d3.1561992!4d101.596532?hl=en",https://kfc.com.my/
"and Bukit Lanjan Interchange, No. R1, Sungai Buloh Overhead Bridge, KM 458.40 of North South Express Between, 47000 Sungai Buloh, Selangor, Malaysia",Restaurant,1.95E+18,Sungai Buloh,R&R Sungai Buloh Overhead Bridge Restaurant,3.1885361,101.5863314,"and Bukit Lanjan Interchange, No. R1, Sungai Buloh Overhead Bridge, KM 458.40 of North South Express Between",+60 11-5912 2882,47000,107,"https://www.google.com/maps/search/kfc+in+kl/@3.1399207,101.623551,12z?hl=en",Selangor,"and Bukit Lanjan Interchange, No. R1, Sungai Buloh Overhead Bridge, KM 458.40 of North South Express Between",KFC OHB Sungai Buloh,4.1,"https://www.google.com/maps/place/KFC+OHB+Sungai+Buloh/@3.1885361,101.5841427,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4f63eef1224d:0x1b04e4b27fb92ded!8m2!3d3.1885361!4d101.5863314?hl=en",https://kfc.com.my/
"No. 60 & 62, Sunway Metro, Jalan PJS 11/28, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia",Restaurant,6.10E+18,Petaling Jaya,,3.0727714,101.6092374,"No. 60 & 62, Sunway Metro, Jalan PJS 11/28",+60 3-5611 6472,46150,92,"https://www.google.com/maps/search/kfc+in+kl/@3.1399207,101.623551,12z?hl=en",Selangor,"No. 60 & 62, Sunway Metro, Jalan PJS 11/28",KFC,2.9,"https://www.google.com/maps/place/KFC/@3.0727714,101.6070487,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4c80b65e9bdf:0x54afb620240a7886!8m2!3d3.0727465!4d101.6092371?hl=en",https://kfc.com.my/
"Lot No. F2.02, F2.09 & F2.10, LG Floor, AEON BiG Subang, 3, Jalan SS 16/1, 47500 Subang Jaya, Selangor, Malaysia",Restaurant,1.83E+18,Subang Jaya,AEON BiG Subang Jaya,3.0832394,101.5877013,"Lot No. F2.02, F2.09 & F2.10, LG Floor, AEON BiG Subang, 3, Jalan SS 16/1",+60 19-337 5092,47500,106,"https://www.google.com/maps/search/kfc+in+kl/@3.1399207,101.623551,12z?hl=en",Selangor,"Lot No. F2.02, F2.09 & F2.10, LG Floor, AEON BiG Subang, 3, Jalan SS 16/1",KFC AEON BiG Subang Jaya,3.5,"https://www.google.com/maps/place/KFC+AEON+BiG+Subang+Jaya/@3.0832394,101.5855126,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4c5ca8b14d15:0x1968b9dc186594c4!8m2!3d3.0832394!4d101.5877013?hl=en",https://kfc.com.my/
"Lot No. G16, G17, G26 & G27 Giant Hypermarket Bandar Kinrara Puchong, 47100 Selangor, Malaysia",Fast food restaurant,3.56E+18,Selangor,Giant Hypermarket Bandar Kinrara,3.0503449,101.6468442,"Lot No. G16, G17, G26 & G27 Giant Hypermarket Bandar Kinrara Puchong",+60 3-8071 0570,47100,91,"https://www.google.com/maps/search/kfc+in+kl/@3.1399207,101.623551,12z?hl=en",Selangor,"Lot No. G16, G17, G26 & G27 Giant Hypermarket Bandar Kinrara Puchong",KFC @ Giant Bandar Kinrara,3.4,"https://www.google.com/maps/place/KFC+@+Giant+Bandar+Kinrara/@3.0503449,101.6446555,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4b3c42d7c93d:0x3164494507548a03!8m2!3d3.0503449!4d101.6468442?hl=en",http://kfc.com.my/
"16, 17 & 18 First Floor Giant Hyper Kelana Jaya, 47301 Selangor, Malaysia",Restaurant,8.10E+17,Selangor,Floor 1 · Giant Mall Kelana Jaya,3.102932,101.597838,"16, 17 & 18 First Floor Giant Hyper Kelana Jaya",+60 19-337 7914,47301,105,"https://www.google.com/maps/search/kfc+in+kl/@3.1399207,101.623551,12z?hl=en",Selangor,"16, 17 & 18 First Floor Giant Hyper Kelana Jaya",KFC,3.6,"https://www.google.com/maps/place/KFC/@3.102932,101.5956493,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4c175a538725:0xb3ca418e5ebf6b2!8m2!3d3.102932!4d101.597838?hl=en",http://kfc.com.my/
