address,categories/0,cid,city,locatedIn,latitude,longitude,neighborhood,orderBy/0/name,orderBy/0/url,phone,postalCode,rank,searchPageUrl,state,street,store_name,totalScore,url,website
"Section 2, No, Jalan Metro Wangsa, Wangsa Maju, 53300 Kuala Lumpur, Malaysia",Pizza restaurant,1.73E+19,Kuala Lumpur,,3.2047503,101.7363733,"Section 2, No, Jalan Metro Wangsa",pizzahut.com.my,https://www.pizzahut.com.my/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness&utm_content=orderlinkphd,+60 1-300-88-2525,53300,20,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.141278,101.6235504,12z?hl=en",Federal Territory of Kuala Lumpur,"Section 2, No, Jalan Metro Wangsa",Pizza Hut Delivery (PHD) WANGSA MAJU,4.1,"https://www.google.com/maps/place/Pizza+Hut+Delivery+(PHD)+WANGSA+MAJU/@3.2047503,101.7341846,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc383be3f7febd:0xefb4aaf01cd6b572!8m2!3d3.2047503!4d101.7363733?hl=en",https://www.pizzahut.com.my/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=phd&utm_content=websitelink
"No. 48, Jalan Medan Putra 3, Wilayah Persekutuan, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Cafe,1.84E+19,Kuala Lumpur,,3.1919148,101.6252434,"No. 48, Jalan Medan Putra 3",,,+60 3-6272 0239,52200,98,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Federal Territory of Kuala Lumpur,"No. 48, Jalan Medan Putra 3",Pizza Hut Delivery,4.1,"https://www.google.com/maps/place/Pizza+Hut+Delivery/@3.1919148,101.6230547,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc460293494b99:0xff782c551195b6da!8m2!3d3.1919148!4d101.6252434?hl=en",
"2, Jalan Equine 9b, Taman Equine, 43300 Seri Kembangan, Selangor, Malaysia",Pizza restaurant,1.35E+18,Seri Kembangan,AEON MALL Taman Equine,2.9952855,101.6750188,"2, Jalan Equine 9b",,,+60 1-300-88-2525,43300,97,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"2, Jalan Equine 9b",Pizza Hut Equine Park,3.5,"https://www.google.com/maps/place/Pizza+Hut+Equine+Park/@2.9952855,101.6728301,17z/data=!3m1!4b1!4m5!3m4!1s0x31cdb50823f89ac9:0x12c8e38b7d23dd7b!8m2!3d2.9952855!4d101.6750188?hl=en",http://www.pizzahut.com.my/
"55, Jln Sungai Burung Z 32/Z, Bukit Rimau, 40460 Shah Alam, Selangor, Malaysia",Pizza restaurant,1.73E+19,Shah Alam,,2.9984174,101.5275141,"55, Jln Sungai Burung Z 32/Z",,,+60 1-300-88-2525,40460,96,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"55, Jln Sungai Burung Z 32/Z",Pizza Hut Delivery (PHD) BUKIT RIMAU,3.8,"https://www.google.com/maps/place/Pizza+Hut+Delivery+(PHD)+BUKIT+RIMAU/@2.9984174,101.5253254,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc53ce0f62ed31:0xefcdde75201d62d2!8m2!3d2.9984174!4d101.5275141?hl=en",https://www.pizzahut.com.my/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=phd&utm_content=websitelink
"8, Jalan Pandan Prima 2, Dataran Pandan Prima, 68000 Kuala Lumpur, Selangor, Malaysia",Restaurant,4.97E+18,Kuala Lumpur,,3.1420183,101.7416616,"8, Jalan Pandan Prima 2",,,,68000,95,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"8, Jalan Pandan Prima 2",Pizza Hut Tesco Ampang,4,"https://www.google.com/maps/place/Pizza+Hut+Tesco+Ampang/@3.1420183,101.7394729,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc36501a6f486d:0x44fab3bad71680e9!8m2!3d3.1420141!4d101.7416608?hl=en",
"Lot GF - 09 & GF-10 Ground Floor Shah Alam City (SACC) Jalan Perbadanan 14/9, Sh, 40000 Shah Alam, Selangor, Malaysia",Pizza restaurant,9.47E+18,Shah Alam,Floor G · SACC Mall,3.0698891,101.5185631,"Lot GF - 09 & GF-10 Ground Floor Shah Alam City (SACC) Jalan Perbadanan 14/9, Sh",,,+60 1-300-88-2525,40000,94,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Lot GF - 09 & GF-10 Ground Floor Shah Alam City (SACC) Jalan Perbadanan 14/9, Sh",Pizza Hut SHAH ALAM CC,3.1,"https://www.google.com/maps/place/Pizza+Hut+SHAH+ALAM+CC/@3.0698891,101.5163744,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc53ea0f8a27e5:0x8373e0f5cebb003a!8m2!3d3.0698891!4d101.5185631?hl=en",https://www.pizzahut.com.my/
"4, Jalan Elektron F U16/F, Denai Alam, 40160 Shah Alam, Selangor, Malaysia",Pizza restaurant,1.45E+19,Shah Alam,,3.1608232,101.5123127,"4, Jalan Elektron F U16/F",,,+60 1-300-88-2525,40160,93,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"4, Jalan Elektron F U16/F",Pizza Hut Delivery (PHD) DENAI ALAM,3.7,"https://www.google.com/maps/place/Pizza+Hut+Delivery+(PHD)+DENAI+ALAM/@3.1608232,101.510124,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc511addd7c965:0xc9663087ae3bc128!8m2!3d3.1608232!4d101.5123127?hl=en",https://www.pizzahut.com.my/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=phd&utm_content=websitelink
"Lot 81 & 82, Lower Ground, IOI Resort City, 62502 Purtajaya, Putrajaya, Malaysia",Pizza restaurant,1.41E+18,Purtajaya,IOI Mall Puchong,3.0455227,101.618215,"Lot 81 & 82, Lower Ground, IOI Resort City",,,+60 1-300-88-2525,62502,92,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Putrajaya,"Lot 81 & 82, Lower Ground, IOI Resort City",Pizza Hut IOI CITY MALL PUTRAJAYA,,"https://www.google.com/maps/place/Pizza+Hut+IOI+CITY+MALL+PUTRAJAYA/@3.0455227,101.6160263,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4be61ea547df:0x13935281c28392b4!8m2!3d3.0455227!4d101.618215?hl=en",https://www.pizzahut.com.my/
"Lot G49 Ground Floor, Jusco Cheras Selatan Shopping Centre, 43200 Cheras, Selangor, Malaysia",Pizza restaurant,1.40E+19,Cheras,Floor G · AEON Mall Cheras Selatan,3.0327012,101.7644835,"Lot G49 Ground Floor, Jusco Cheras Selatan Shopping Centre",,,+60 1-300-88-2525,43200,91,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Lot G49 Ground Floor, Jusco Cheras Selatan Shopping Centre",Pizza Hut,3.1,"https://www.google.com/maps/place/Pizza+Hut/@3.0327012,101.7622948,17z/data=!3m1!4b1!4m5!3m4!1s0x31cdad8756606e21:0xc2bcc6f02eb86e5c!8m2!3d3.0327012!4d101.7644835?hl=en",https://www.pizzahut.com.my/
"PT 31081, Jalan Apollo Ch U5/Ch, Seksyen U5, 40150 Shah Alam, Selangor, Malaysia",Pizza restaurant,1.36E+19,Shah Alam,,3.1553084,101.5457205,"PT 31081, Jalan Apollo Ch U5/Ch",,,+60 1-300-88-2525,40150,90,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"PT 31081, Jalan Apollo Ch U5/Ch",Pizza Hut SUBANG 2 (Curbside Pickup Available),3.7,"https://www.google.com/maps/place/Pizza+Hut+SUBANG+2+(Curbside+Pickup+Available)/@3.1553084,101.5435318,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4fbeeb871af5:0xbc7397e360110850!8m2!3d3.1553084!4d101.5457205?hl=en",https://www.pizzahut.com.my/
"Section 9, 40100 Shah Alam, Selangor, Malaysia",Pizza restaurant,1.57E+19,Shah Alam,,3.0854446,101.5227361,,,,+60 1-300-88-2525,40100,89,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,,Pizza Hut,4,"https://www.google.com/maps/place/Pizza+Hut/@3.0854446,101.5205474,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc532a3c95817d:0xda517300bc43e3ad!8m2!3d3.0854446!4d101.5227361?hl=en",http://www.pizzahut.com.my/
"Lot No. 3, Ground Floor Tesco Shah Alam.3 Jalan Aerobik 13/43 Seksyen 13, Sha, 40100 Shah Alam, Selangor, Malaysia",Pizza restaurant,7.08E+18,Shah Alam,,3.0713431,101.5384553,"Lot No. 3, Ground Floor Tesco Shah Alam.3 Jalan Aerobik 13/43 Seksyen 13, Sha",,,+60 1-300-88-2525,40100,88,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Lot No. 3, Ground Floor Tesco Shah Alam.3 Jalan Aerobik 13/43 Seksyen 13, Sha",PIZZA HUT TESCO SHAH ALAM,3.1,"https://www.google.com/maps/place/PIZZA+HUT+TESCO+SHAH+ALAM/@3.0713431,101.5362666,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4dc576ae3d3d:0x62314c3ad0d53e64!8m2!3d3.0713431!4d101.5384553?hl=en",https://www.pizzahut.com.my/
"Lot G18, G19,G24 & G25 Ground Floor Giant Hypermarket Bandar Kinrara, Lot 449, J, 47100 Puchong, Selangor, Malaysia",Pizza restaurant,2.19E+18,Puchong,Floor G · Giant Hypermarket Bandar Kinrara,3.0490896,101.6469287,"Lot G18, G19,G24 & G25 Ground Floor Giant Hypermarket Bandar Kinrara, Lot 449, J",,,+60 1-300-88-2525,47100,60,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Lot G18, G19,G24 & G25 Ground Floor Giant Hypermarket Bandar Kinrara, Lot 449, J",Pizza Hut GIANT KINRARA,2.9,"https://www.google.com/maps/place/Pizza+Hut+GIANT+KINRARA/@3.0490896,101.64474,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4b3c68bd0b9f:0x1e63c31a484578ff!8m2!3d3.0490896!4d101.6469287?hl=en",https://www.pizzahut.com.my/
"Unit C, Da Men, 03-27, Persiaran Kewajipan, Usj 1, 47600 Subang Jaya, Selangor, Malaysia",Pizza restaurant,7.78E+18,Subang Jaya,Da Men Mall,3.0583627,101.5938069,"Unit C, Da Men, 03-27, Persiaran Kewajipan",,,+60 16-696 0521,47600,87,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Unit C, Da Men, 03-27, Persiaran Kewajipan",Pizza Hut @ Da Men Mall USJ,3.1,"https://www.google.com/maps/place/Pizza+Hut+@+Da+Men+Mall+USJ/@3.0583627,101.5916182,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4d898e43b4f1:0x6bea2ea0dccc7929!8m2!3d3.0583627!4d101.5938069?hl=en",
"1 Utama Shopping Centre, No. 223 Promenade LG, Lebuh Bandar City, 1, Lebuh Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",Pizza restaurant,4.85E+18,Petaling Jaya,1 Utama Shopping Centre,3.1486604,101.6167555,"1 Utama Shopping Centre, No. 223 Promenade LG, Lebuh Bandar City, 1, Lebuh Bandar Utama",,,+60 1-300-88-2525,47800,59,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"1 Utama Shopping Centre, No. 223 Promenade LG, Lebuh Bandar City, 1, Lebuh Bandar Utama",Pizza Hut 1 UTAMA,3,"https://www.google.com/maps/place/Pizza+Hut+1+UTAMA/@3.1486604,101.6145668,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4fbd4dbc1cfd:0x4340892954221871!8m2!3d3.1486604!4d101.6167555?hl=en",https://www.pizzahut.com.my/
"Ground Floor, The Curve, Lot No G C39, No 6, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor, Malaysia",Pizza restaurant,7.98E+18,Petaling Jaya,Floor G · The Curve,3.1568428,101.6104983,"Ground Floor, The Curve, Lot No G C39, No 6, Jalan PJU 7/3",,,+60 1-300-88-2525,47810,58,"https://www.google.com/maps/search/Pizza+Hut+in+Kuala+Lumpur,+Federal+Territory+of+Kuala+Lumpur/@3.1412733,101.6235503,12z?hl=en",Selangor,"Ground Floor, The Curve, Lot No G C39, No 6, Jalan PJU 7/3",Pizza Hut THE CURVE,3.4,"https://www.google.com/maps/place/Pizza+Hut+THE+CURVE/@3.1568428,101.6083096,17z/data=!3m1!4b1!4m5!3m4!1s0x31cc4f2be354ea51:0x6eadf5a321603aef!8m2!3d3.1568428!4d101.6104983?hl=en",https://www.pizzahut.com.my/
